timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685737379935,1224,User Request,200,OK,Thread Group 1-1349,text,true,,1564,134,4,4,https://random-data-api.com/api/v2/users,1224,0,506
1685737380295,1280,User Request,200,OK,Thread Group 1-1350,text,true,,1545,134,4,4,https://random-data-api.com/api/v2/users,1280,0,506
1685737380655,1905,User Request,200,OK,Thread Group 1-1351,text,true,,1555,134,6,6,https://random-data-api.com/api/v2/users,1905,0,510
1685737381015,1838,User Request,200,OK,Thread Group 1-1352,text,true,,1556,134,6,6,https://random-data-api.com/api/v2/users,1838,0,500
1685737381374,1735,User Request,200,OK,Thread Group 1-1353,text,true,,1539,134,5,5,https://random-data-api.com/api/v2/users,1735,0,510
1685737381735,1773,User Request,200,OK,Thread Group 1-1354,text,true,,1560,134,5,5,https://random-data-api.com/api/v2/users,1773,0,518
1685737382096,1511,User Request,200,OK,Thread Group 1-1355,text,true,,1554,134,5,5,https://random-data-api.com/api/v2/users,1511,0,498
1685737382456,1227,User Request,200,OK,Thread Group 1-1356,text,true,,1554,134,4,4,https://random-data-api.com/api/v2/users,1226,0,509
1685737382814,1349,User Request,200,OK,Thread Group 1-1357,text,true,,1558,134,4,4,https://random-data-api.com/api/v2/users,1349,0,498
1685737383174,1140,User Request,200,OK,Thread Group 1-1358,text,true,,1550,134,4,4,https://random-data-api.com/api/v2/users,1140,0,496
1685737383534,941,User Request,200,OK,Thread Group 1-1359,text,true,,1558,134,3,3,https://random-data-api.com/api/v2/users,941,0,498
1685737383895,859,User Request,200,OK,Thread Group 1-1360,text,true,,1552,134,3,3,https://random-data-api.com/api/v2/users,859,0,503
1685737384255,757,User Request,200,OK,Thread Group 1-1361,text,true,,1540,134,3,3,https://random-data-api.com/api/v2/users,757,0,500
1685737384614,847,User Request,200,OK,Thread Group 1-1362,text,true,,1520,134,3,3,https://random-data-api.com/api/v2/users,847,0,505
1685737384974,1037,User Request,200,OK,Thread Group 1-1363,text,true,,1570,134,3,3,https://random-data-api.com/api/v2/users,1036,0,504
1685737385335,1014,User Request,200,OK,Thread Group 1-1364,text,true,,1574,134,3,3,https://random-data-api.com/api/v2/users,1014,0,499
1685737386054,764,User Request,200,OK,Thread Group 1-1366,text,true,,1555,134,4,4,https://random-data-api.com/api/v2/users,764,0,506
1685737386414,752,User Request,200,OK,Thread Group 1-1367,text,true,,1579,134,4,4,https://random-data-api.com/api/v2/users,752,0,496
1685737385695,1785,User Request,200,OK,Thread Group 1-1365,text,true,,1595,134,3,3,https://random-data-api.com/api/v2/users,1785,0,1503
1685737386775,752,User Request,200,OK,Thread Group 1-1368,text,true,,1553,134,3,3,https://random-data-api.com/api/v2/users,752,0,499
1685737387135,889,User Request,200,OK,Thread Group 1-1369,text,true,,1535,134,3,3,https://random-data-api.com/api/v2/users,889,0,497
1685737387494,769,User Request,200,OK,Thread Group 1-1370,text,true,,1574,134,3,3,https://random-data-api.com/api/v2/users,769,0,509
1685737387855,758,User Request,200,OK,Thread Group 1-1371,text,true,,1554,134,3,3,https://random-data-api.com/api/v2/users,758,0,501
1685737388215,762,User Request,200,OK,Thread Group 1-1372,text,true,,1565,134,3,3,https://random-data-api.com/api/v2/users,762,0,502
